Program,Year,Geo Level,State,type,items,units,Value,CV (%)
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC - ACRES HARVESTED,NA,NA,"5,301",43.5
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,546,6.3
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC - OPERATIONS WITH SALES,NA,NA,546,6.3
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,"1,495,299",51.2
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC - SALES, MEASURED IN $,NA,"335,964,420",45.7
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC - SALES, MEASURED IN CWT,NA,"1,494,673",51.3
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,540,6.3
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC, FRESH MARKET - SALES, CWT,"1,483,234",50.3
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,18,24.9
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC, PROCESSING - SALES, $,(D),(D)
CENSUS,2021,NATIONAL,US TOTAL, ORGANIC, PROCESSING - SALES, CWT,"11,440",(H)
CENSUS,2021,STATE,ALASKA, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,ALASKA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,2,(H)
CENSUS,2021,STATE,ALASKA, ORGANIC - OPERATIONS WITH SALES,NA,NA,2,(H)
CENSUS,2021,STATE,ALASKA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,ALASKA, ORGANIC - SALES, MEASURED IN $,NA,(D),(D)
CENSUS,2021,STATE,ALASKA, ORGANIC - SALES, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,ALASKA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,2,(H)
CENSUS,2021,STATE,ALASKA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,ALASKA, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,CALIFORNIA, ORGANIC - ACRES HARVESTED,NA,NA,"4,228",45.7
CENSUS,2021,STATE,CALIFORNIA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,142,19.2
CENSUS,2021,STATE,CALIFORNIA, ORGANIC - OPERATIONS WITH SALES,NA,NA,142,19.2
CENSUS,2021,STATE,CALIFORNIA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,"1,413,251",51.6
CENSUS,2021,STATE,CALIFORNIA, ORGANIC - SALES, MEASURED IN $,NA,"311,784,980",46.0
CENSUS,2021,STATE,CALIFORNIA, ORGANIC - SALES, MEASURED IN CWT,NA,"1,412,627",51.7
CENSUS,2021,STATE,CALIFORNIA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,141,20.4
CENSUS,2021,STATE,CALIFORNIA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,CALIFORNIA, ORGANIC, FRESH MARKET - SALES, CWT,"1,401,384",50.6
CENSUS,2021,STATE,CALIFORNIA, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,7,60.0
CENSUS,2021,STATE,CALIFORNIA, ORGANIC, PROCESSING - SALES, $,(D),(D)
CENSUS,2021,STATE,CALIFORNIA, ORGANIC, PROCESSING - SALES, CWT,"11,244",(H)
CENSUS,2021,STATE,CONNECTICUT, ORGANIC - ACRES HARVESTED,NA,NA,3,(H)
CENSUS,2021,STATE,CONNECTICUT, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,8,74.4
CENSUS,2021,STATE,CONNECTICUT, ORGANIC - OPERATIONS WITH SALES,NA,NA,8,74.4
CENSUS,2021,STATE,CONNECTICUT, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,183,(H)
CENSUS,2021,STATE,CONNECTICUT, ORGANIC - SALES, MEASURED IN $,NA,"40,890",(H)
CENSUS,2021,STATE,CONNECTICUT, ORGANIC - SALES, MEASURED IN CWT,NA,183,(H)
CENSUS,2021,STATE,CONNECTICUT, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,8,74.4
CENSUS,2021,STATE,CONNECTICUT, ORGANIC, FRESH MARKET - SALES, $,"40,890",(H)
CENSUS,2021,STATE,CONNECTICUT, ORGANIC, FRESH MARKET - SALES, CWT,183,(H)
CENSUS,2021,STATE,FLORIDA, ORGANIC - ACRES HARVESTED,NA,NA,704,99.8
CENSUS,2021,STATE,FLORIDA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,10,57.3
CENSUS,2021,STATE,FLORIDA, ORGANIC - OPERATIONS WITH SALES,NA,NA,10,57.3
CENSUS,2021,STATE,FLORIDA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,"67,146",(H)
CENSUS,2021,STATE,FLORIDA, ORGANIC - SALES, MEASURED IN $,NA,"18,358,396",(H)
CENSUS,2021,STATE,FLORIDA, ORGANIC - SALES, MEASURED IN CWT,NA,"67,146",(H)
CENSUS,2021,STATE,FLORIDA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,10,57.3
CENSUS,2021,STATE,FLORIDA, ORGANIC, FRESH MARKET - SALES, $,"18,358,396",(H)
CENSUS,2021,STATE,FLORIDA, ORGANIC, FRESH MARKET - SALES, CWT,"67,146",(H)
CENSUS,2021,STATE,GEORGIA, ORGANIC - ACRES HARVESTED,NA,NA,1,92.4
CENSUS,2021,STATE,GEORGIA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,4,80.4
CENSUS,2021,STATE,GEORGIA, ORGANIC - OPERATIONS WITH SALES,NA,NA,4,80.4
CENSUS,2021,STATE,GEORGIA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,19,78.0
CENSUS,2021,STATE,GEORGIA, ORGANIC - SALES, MEASURED IN $,NA,"11,600",77.8
CENSUS,2021,STATE,GEORGIA, ORGANIC - SALES, MEASURED IN CWT,NA,19,78.0
CENSUS,2021,STATE,GEORGIA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,4,80.4
CENSUS,2021,STATE,GEORGIA, ORGANIC, FRESH MARKET - SALES, $,"11,600",77.8
CENSUS,2021,STATE,GEORGIA, ORGANIC, FRESH MARKET - SALES, CWT,19,78.0
CENSUS,2021,STATE,IDAHO, ORGANIC - ACRES HARVESTED,NA,NA,7,87.5
CENSUS,2021,STATE,IDAHO, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,6,53.2
CENSUS,2021,STATE,IDAHO, ORGANIC - OPERATIONS WITH SALES,NA,NA,6,53.2
CENSUS,2021,STATE,IDAHO, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,111,71.4
CENSUS,2021,STATE,IDAHO, ORGANIC - SALES, MEASURED IN $,NA,"31,680",74.1
CENSUS,2021,STATE,IDAHO, ORGANIC - SALES, MEASURED IN CWT,NA,111,71.4
CENSUS,2021,STATE,IDAHO, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,6,53.2
CENSUS,2021,STATE,IDAHO, ORGANIC, FRESH MARKET - SALES, $,"31,680",74.1
CENSUS,2021,STATE,IDAHO, ORGANIC, FRESH MARKET - SALES, CWT,111,71.4
CENSUS,2021,STATE,ILLINOIS, ORGANIC - ACRES HARVESTED,NA,NA,1,95.4
CENSUS,2021,STATE,ILLINOIS, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,5,95.4
CENSUS,2021,STATE,ILLINOIS, ORGANIC - OPERATIONS WITH SALES,NA,NA,5,95.4
CENSUS,2021,STATE,ILLINOIS, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,53,94.9
CENSUS,2021,STATE,ILLINOIS, ORGANIC - SALES, MEASURED IN $,NA,"16,000",95.0
CENSUS,2021,STATE,ILLINOIS, ORGANIC - SALES, MEASURED IN CWT,NA,53,94.9
CENSUS,2021,STATE,ILLINOIS, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,5,95.4
CENSUS,2021,STATE,ILLINOIS, ORGANIC, FRESH MARKET - SALES, $,"16,000",95.0
CENSUS,2021,STATE,ILLINOIS, ORGANIC, FRESH MARKET - SALES, CWT,53,94.9
CENSUS,2021,STATE,INDIANA, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,INDIANA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,2,(H)
CENSUS,2021,STATE,INDIANA, ORGANIC - OPERATIONS WITH SALES,NA,NA,2,(H)
CENSUS,2021,STATE,INDIANA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,INDIANA, ORGANIC - SALES, MEASURED IN $,NA,(D),(D)
CENSUS,2021,STATE,INDIANA, ORGANIC - SALES, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,INDIANA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,2,(H)
CENSUS,2021,STATE,INDIANA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,INDIANA, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,IOWA, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,IOWA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,6,97.5
CENSUS,2021,STATE,IOWA, ORGANIC - OPERATIONS WITH SALES,NA,NA,6,97.5
CENSUS,2021,STATE,IOWA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,74,96.4
CENSUS,2021,STATE,IOWA, ORGANIC - SALES, MEASURED IN $,NA,(D),(D)
CENSUS,2021,STATE,IOWA, ORGANIC - SALES, MEASURED IN CWT,NA,74,96.4
CENSUS,2021,STATE,IOWA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,6,97.5
CENSUS,2021,STATE,IOWA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,IOWA, ORGANIC, FRESH MARKET - SALES, CWT,74,96.4
CENSUS,2021,STATE,KENTUCKY, ORGANIC - ACRES HARVESTED,NA,NA,5,76.0
CENSUS,2021,STATE,KENTUCKY, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,12,69.1
CENSUS,2021,STATE,KENTUCKY, ORGANIC - OPERATIONS WITH SALES,NA,NA,12,69.1
CENSUS,2021,STATE,KENTUCKY, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,62,72.0
CENSUS,2021,STATE,KENTUCKY, ORGANIC - SALES, MEASURED IN $,NA,"30,828",72.0
CENSUS,2021,STATE,KENTUCKY, ORGANIC - SALES, MEASURED IN CWT,NA,62,72.0
CENSUS,2021,STATE,KENTUCKY, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,12,69.1
CENSUS,2021,STATE,KENTUCKY, ORGANIC, FRESH MARKET - SALES, $,"30,828",72.0
CENSUS,2021,STATE,KENTUCKY, ORGANIC, FRESH MARKET - SALES, CWT,62,72.0
CENSUS,2021,STATE,LOUISIANA, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,LOUISIANA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,2,(H)
CENSUS,2021,STATE,LOUISIANA, ORGANIC - OPERATIONS WITH SALES,NA,NA,2,(H)
CENSUS,2021,STATE,LOUISIANA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,LOUISIANA, ORGANIC - SALES, MEASURED IN $,NA,(D),(D)
CENSUS,2021,STATE,LOUISIANA, ORGANIC - SALES, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,LOUISIANA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,2,(H)
CENSUS,2021,STATE,LOUISIANA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,LOUISIANA, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,MAINE, ORGANIC - ACRES HARVESTED,NA,NA,11,62.4
CENSUS,2021,STATE,MAINE, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,16,38.4
CENSUS,2021,STATE,MAINE, ORGANIC - OPERATIONS WITH SALES,NA,NA,16,38.4
CENSUS,2021,STATE,MAINE, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,504,(H)
CENSUS,2021,STATE,MAINE, ORGANIC - SALES, MEASURED IN $,NA,"174,980",(H)
CENSUS,2021,STATE,MAINE, ORGANIC - SALES, MEASURED IN CWT,NA,504,(H)
CENSUS,2021,STATE,MAINE, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,16,38.4
CENSUS,2021,STATE,MAINE, ORGANIC, FRESH MARKET - SALES, $,"174,980",(H)
CENSUS,2021,STATE,MAINE, ORGANIC, FRESH MARKET - SALES, CWT,504,(H)
CENSUS,2021,STATE,MARYLAND, ORGANIC - ACRES HARVESTED,NA,NA,3,31.6
CENSUS,2021,STATE,MARYLAND, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,17,31.1
CENSUS,2021,STATE,MARYLAND, ORGANIC - OPERATIONS WITH SALES,NA,NA,17,31.1
CENSUS,2021,STATE,MARYLAND, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,127,35.4
CENSUS,2021,STATE,MARYLAND, ORGANIC - SALES, MEASURED IN $,NA,"53,810",42.8
CENSUS,2021,STATE,MARYLAND, ORGANIC - SALES, MEASURED IN CWT,NA,127,35.4
CENSUS,2021,STATE,MARYLAND, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,17,31.1
CENSUS,2021,STATE,MARYLAND, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,MARYLAND, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,MARYLAND, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,2,(H)
CENSUS,2021,STATE,MARYLAND, ORGANIC, PROCESSING - SALES, $,(D),(D)
CENSUS,2021,STATE,MARYLAND, ORGANIC, PROCESSING - SALES, CWT,(D),(D)
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - ACRES HARVESTED,NA,NA,9,89.6
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,12,79.2
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - OPERATIONS WITH SALES,NA,NA,12,79.2
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,251,76.5
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - SALES, MEASURED IN $,NA,"94,827",80.1
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - SALES, MEASURED IN CWT,NA,251,76.5
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,12,79.2
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC, FRESH MARKET - SALES, $,"94,827",80.1
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC, FRESH MARKET - SALES, CWT,251,76.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC - ACRES HARVESTED,NA,NA,15,47.2
CENSUS,2021,STATE,MICHIGAN, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,26,32.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC - OPERATIONS WITH SALES,NA,NA,26,32.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,564,43.9
CENSUS,2021,STATE,MICHIGAN, ORGANIC - SALES, MEASURED IN $,NA,"174,011",44.1
CENSUS,2021,STATE,MICHIGAN, ORGANIC - SALES, MEASURED IN CWT,NA,564,43.9
CENSUS,2021,STATE,MICHIGAN, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,26,32.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC, FRESH MARKET - SALES, $,"174,011",44.1
CENSUS,2021,STATE,MICHIGAN, ORGANIC, FRESH MARKET - SALES, CWT,564,43.9
CENSUS,2021,STATE,MINNESOTA, ORGANIC - ACRES HARVESTED,NA,NA,19,45.8
CENSUS,2021,STATE,MINNESOTA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,21,39.5
CENSUS,2021,STATE,MINNESOTA, ORGANIC - OPERATIONS WITH SALES,NA,NA,21,39.5
CENSUS,2021,STATE,MINNESOTA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,749,54.0
CENSUS,2021,STATE,MINNESOTA, ORGANIC - SALES, MEASURED IN $,NA,"418,914",62.4
CENSUS,2021,STATE,MINNESOTA, ORGANIC - SALES, MEASURED IN CWT,NA,749,54.0
CENSUS,2021,STATE,MINNESOTA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,18,43.6
CENSUS,2021,STATE,MINNESOTA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,MINNESOTA, ORGANIC, FRESH MARKET - SALES, CWT,659,62.9
CENSUS,2021,STATE,MINNESOTA, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,3,95.4
CENSUS,2021,STATE,MINNESOTA, ORGANIC, PROCESSING - SALES, $,(D),(D)
CENSUS,2021,STATE,MINNESOTA, ORGANIC, PROCESSING - SALES, CWT,90,95.4
CENSUS,2021,STATE,MONTANA, ORGANIC - ACRES HARVESTED,NA,NA,5,71.5
CENSUS,2021,STATE,MONTANA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,11,43.6
CENSUS,2021,STATE,MONTANA, ORGANIC - OPERATIONS WITH SALES,NA,NA,11,43.6
CENSUS,2021,STATE,MONTANA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,96,73.5
CENSUS,2021,STATE,MONTANA, ORGANIC - SALES, MEASURED IN $,NA,"80,886",74.8
CENSUS,2021,STATE,MONTANA, ORGANIC - SALES, MEASURED IN CWT,NA,96,73.5
CENSUS,2021,STATE,MONTANA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,11,43.6
CENSUS,2021,STATE,MONTANA, ORGANIC, FRESH MARKET - SALES, $,"80,886",74.8
CENSUS,2021,STATE,MONTANA, ORGANIC, FRESH MARKET - SALES, CWT,96,73.5
CENSUS,2021,STATE,NEBRASKA, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,1,(H)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - OPERATIONS WITH SALES,NA,NA,1,(H)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - SALES, MEASURED IN $,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - SALES, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,1,(H)
CENSUS,2021,STATE,NEBRASKA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC - ACRES HARVESTED,NA,NA,6,(H)
